epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.863949,4.860214,0.000000,1154.90
2,4.858630,4.857285,0.012000,1154.70
3,4.857114,4.856529,0.005000,1155.09
4,4.856381,4.856198,0.013000,1155.44
5,4.856137,4.855998,0.009000,1155.50
6,4.856025,4.856056,0.012000,1155.05
7,4.855965,4.856036,0.006000,1155.01
8,4.855847,4.856076,0.020000,1155.61
9,4.855435,4.855608,0.083000,1155.84
10,4.855023,4.855304,0.237000,1155.84
11,4.854794,4.854859,0.506000,1155.71
12,4.854670,4.855412,0.400000,1156.40
13,4.854401,4.855006,0.630000,1156.58
14,4.854316,4.854857,0.774000,1156.32
15,4.854282,4.854864,0.787000,1156.76
16,4.854259,4.854604,0.950000,1155.94
17,4.854301,4.854601,0.939000,1155.25
18,4.854232,4.854565,0.949000,1155.86
19,4.854227,4.854469,0.911000,1155.81
20,4.854213,4.854700,0.920000,1155.71
