method,q,num_iter,max_err,sum_err
NR,1.0,1,3.4924596548080444e-10,1.3113021850585938e-06
NR,1.0,2,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,3,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,4,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,5,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,6,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,7,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,8,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,9,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,10,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,11,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,12,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,13,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,14,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,15,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,16,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,17,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,18,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,19,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,20,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,21,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,22,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,23,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,24,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,25,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,26,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,27,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,28,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,29,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,30,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,31,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,32,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,33,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,34,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,35,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,36,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,37,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,38,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,39,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,40,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,41,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,42,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,43,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,44,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,45,5.820766091346741e-11,1.1920928955078125e-07
NR,1.0,46,5.820766091346741e-11,1.1920928955078125e-07
